imagem,fator_escala,n_deteccoes
DSCN7621.JPG,1.0,13
DSCN7621.JPG,0.75,12
DSCN7621.JPG,0.5,10
DSCN7621.JPG,0.4,11
DSCN7621.JPG,0.3,10
DSCN7621.JPG,0.25,10
DSCN7621.JPG,0.2,13
DSCN7621.JPG,0.15,13
DSCN7621.JPG,1.0,13
DSCN7621.JPG,0.75,12
DSCN7621.JPG,0.5,10
DSCN7621.JPG,0.4,11
DSCN7621.JPG,0.3,10
DSCN7621.JPG,0.25,10
DSCN7621.JPG,0.2,13
DSCN7621.JPG,0.15,13
DSCN7622.JPG,1.0,7
DSCN7622.JPG,0.75,6
DSCN7622.JPG,0.5,7
DSCN7622.JPG,0.4,7
DSCN7622.JPG,0.3,7
DSCN7622.JPG,0.25,7
DSCN7622.JPG,0.2,7
DSCN7622.JPG,0.15,7
DSCN7622.JPG,1.0,7
DSCN7622.JPG,0.75,6
DSCN7622.JPG,0.5,7
DSCN7622.JPG,0.4,7
DSCN7622.JPG,0.3,7
DSCN7622.JPG,0.25,7
DSCN7622.JPG,0.2,7
DSCN7622.JPG,0.15,7
DSCN7623.JPG,1.0,22
DSCN7623.JPG,0.75,21
DSCN7623.JPG,0.5,21
DSCN7623.JPG,0.4,21
DSCN7623.JPG,0.3,21
DSCN7623.JPG,0.25,21
DSCN7623.JPG,0.2,21
DSCN7623.JPG,0.15,21
DSCN7623.JPG,1.0,22
DSCN7623.JPG,0.75,21
DSCN7623.JPG,0.5,21
DSCN7623.JPG,0.4,21
DSCN7623.JPG,0.3,21
DSCN7623.JPG,0.25,21
DSCN7623.JPG,0.2,21
DSCN7623.JPG,0.15,21
DSCN7624.JPG,1.0,9
DSCN7624.JPG,0.75,9
DSCN7624.JPG,0.5,9
DSCN7624.JPG,0.4,9
DSCN7624.JPG,0.3,9
DSCN7624.JPG,0.25,10
DSCN7624.JPG,0.2,10
DSCN7624.JPG,0.15,9
DSCN7624.JPG,1.0,9
DSCN7624.JPG,0.75,9
DSCN7624.JPG,0.5,9
DSCN7624.JPG,0.4,9
DSCN7624.JPG,0.3,9
DSCN7624.JPG,0.25,10
DSCN7624.JPG,0.2,10
DSCN7624.JPG,0.15,9
DSCN7625.JPG,1.0,18
DSCN7625.JPG,0.75,19
DSCN7625.JPG,0.5,18
DSCN7625.JPG,0.4,18
DSCN7625.JPG,0.3,18
DSCN7625.JPG,0.25,19
DSCN7625.JPG,0.2,18
DSCN7625.JPG,0.15,16
DSCN7625.JPG,1.0,18
DSCN7625.JPG,0.75,19
DSCN7625.JPG,0.5,18
DSCN7625.JPG,0.4,18
DSCN7625.JPG,0.3,18
DSCN7625.JPG,0.25,19
DSCN7625.JPG,0.2,18
DSCN7625.JPG,0.15,16
DSCN7626.JPG,1.0,0
DSCN7626.JPG,0.75,0
DSCN7626.JPG,0.5,0
DSCN7626.JPG,0.4,0
DSCN7626.JPG,0.3,0
DSCN7626.JPG,0.25,0
DSCN7626.JPG,0.2,0
DSCN7626.JPG,0.15,0
DSCN7626.JPG,1.0,0
DSCN7626.JPG,0.75,0
DSCN7626.JPG,0.5,0
DSCN7626.JPG,0.4,0
DSCN7626.JPG,0.3,0
DSCN7626.JPG,0.25,0
DSCN7626.JPG,0.2,0
DSCN7626.JPG,0.15,0
DSCN7627.JPG,1.0,24
DSCN7627.JPG,0.75,24
DSCN7627.JPG,0.5,24
DSCN7627.JPG,0.4,23
DSCN7627.JPG,0.3,22
DSCN7627.JPG,0.25,22
DSCN7627.JPG,0.2,25
DSCN7627.JPG,0.15,26
DSCN7627.JPG,1.0,24
DSCN7627.JPG,0.75,24
DSCN7627.JPG,0.5,24
DSCN7627.JPG,0.4,23
DSCN7627.JPG,0.3,22
DSCN7627.JPG,0.25,22
DSCN7627.JPG,0.2,25
DSCN7627.JPG,0.15,26
imagem_web_1.jpeg,1.0,60
imagem_web_1.jpeg,0.75,60
imagem_web_1.jpeg,0.5,63
imagem_web_1.jpeg,0.4,60
imagem_web_1.jpeg,0.3,63
imagem_web_1.jpeg,0.25,68
imagem_web_1.jpeg,0.2,79
imagem_web_1.jpeg,0.15,77
imagem_web_1.jpeg,1.0,60
imagem_web_1.jpeg,0.75,60
imagem_web_1.jpeg,0.5,63
imagem_web_1.jpeg,0.4,60
imagem_web_1.jpeg,0.3,63
imagem_web_1.jpeg,0.25,68
imagem_web_1.jpeg,0.2,79
imagem_web_1.jpeg,0.15,77
imagem_web_10.jpg,1.0,6
imagem_web_10.jpg,0.75,6
imagem_web_10.jpg,0.5,6
imagem_web_10.jpg,0.4,5
imagem_web_10.jpg,0.3,5
imagem_web_10.jpg,0.25,5
imagem_web_10.jpg,0.2,5
imagem_web_10.jpg,0.15,1
imagem_web_10.jpg,1.0,6
imagem_web_10.jpg,0.75,6
imagem_web_10.jpg,0.5,6
imagem_web_10.jpg,0.4,5
imagem_web_10.jpg,0.3,5
imagem_web_10.jpg,0.25,5
